datetime,duration,magnitude,ons type,V max,B max,ons_label,t_izmiran
2016-11-09 06:43:00,29,0.7,SSC,372.0,11.8,ICME-shock,2016-11-09 06:43:00
2016-11-10 16:00:00,29,0.33,,491.0,12.8,,2016-11-10 16:00:00
2016-11-12 01:00:00,113,1.27,,735.0,14.9,,2016-11-12 01:00:00
2016-11-20 11:00:00,27,0.34,,361.0,6.8,,2016-11-20 11:00:00
2016-11-21 17:00:00,44,2.51,,500.0,12.6,,2016-11-21 17:00:00
2016-11-24 05:00:00,105,0.8,,668.0,10.9,,2016-11-24 05:00:00
2016-11-28 18:00:00,32,0.5,,474.0,6.3,,2016-11-28 18:00:00
2016-11-30 08:00:00,27,0.39,,377.0,6.9,,2016-11-30 08:00:00
2016-12-01 14:00:00,36,0.58,,384.0,6.1,,2016-12-01 14:00:00
2016-12-03 13:00:00,33,0.38,,320.0,3.7,,2016-12-03 13:00:00
2016-12-05 04:00:00,54,1.01,,355.0,9.8,,2016-12-05 04:00:00
2016-12-07 12:00:00,190,1.92,,710.0,17.1,,2016-12-07 12:00:00
2016-12-16 06:00:00,32,0.34,,386.0,4.5,,2016-12-16 06:00:00
2016-12-17 20:00:00,21,0.65,,434.0,10.6,,2016-12-17 20:00:00
2016-12-18 20:00:00,28,0.91,,371.0,7.2,,2016-12-18 20:00:00
2016-12-20 04:00:00,27,0.79,,422.0,12.8,,2016-12-20 04:00:00
2016-12-21 10:00:00,173,1.47,,745.0,12.4,,2016-12-21 10:00:00
2016-12-31 01:00:00,58,0.93,,556.0,18.3,,2016-12-31 01:00:00
2017-01-02 14:00:00,17,0.29,,393.0,7.4,,2017-01-02 14:00:00
2017-01-03 07:00:00,19,0.44,,523.0,10.5,,2017-01-03 07:00:00
2017-01-04 05:00:00,125,1.28,,744.0,13.9,,2017-01-04 05:00:00
2017-01-09 12:00:00,52,0.33,,677.0,5.3,,2017-01-09 12:00:00
2017-01-12 22:00:00,36,0.52,,389.0,5.9,,2017-01-12 22:00:00
2017-01-16 16:00:00,20,0.56,,320.0,4.8,,2017-01-16 16:00:00
2017-01-17 15:00:00,140,1.11,,611.0,15.9,,2017-01-17 15:00:00
2017-01-24 23:00:00,29,0.53,,352.0,7.3,,2017-01-24 23:00:00
2017-01-26 08:15:00,34,0.74,SSC,636.0,14.1,ICME-shock,2017-01-26 08:15:00
2017-01-28 00:00:00,36,0.33,,556.0,6.9,,2017-01-28 00:00:00
2017-01-30 03:00:00,21,0.37,,539.0,8.9,,2017-01-30 03:00:00
2017-01-31 03:00:00,113,1.37,,753.0,16.8,,2017-01-31 03:00:00
2017-02-05 04:00:00,61,0.57,,640.0,7.6,,2017-02-05 04:00:00
2017-02-08 13:00:00,45,0.74,,460.0,8.0,,2017-02-08 13:00:00
2017-02-11 19:00:00,71,0.68,,370.0,5.4,,2017-02-11 19:00:00
2017-02-15 21:00:00,19,0.42,,384.0,9.8,,2017-02-15 21:00:00
2017-02-16 19:00:00,109,1.08,,586.0,10.2,,2017-02-16 19:00:00
2017-02-21 12:00:00,27,0.52,,441.0,7.8,,2017-02-21 12:00:00
2017-02-22 19:00:00,78,1.03,,649.0,11.0,,2017-02-22 19:00:00
2017-02-27 10:00:00,21,0.25,,407.0,6.8,,2017-02-27 10:00:00
2017-02-28 19:00:00,62,1.66,,714.0,17.4,,2017-02-28 19:00:00
2017-03-03 15:00:00,104,0.44,,695.0,6.1,,2017-03-03 15:00:00
2017-03-08 04:00:00,67,0.51,,555.0,6.3,,2017-03-08 04:00:00
2017-03-11 17:00:00,42,0.48,,418.0,6.9,,2017-03-11 17:00:00
2017-03-15 00:00:00,58,0.75,,408.0,9.0,,2017-03-15 00:00:00
2017-03-18 23:00:00,36,0.32,,323.0,4.6,,2017-03-18 23:00:00
2017-03-20 23:00:00,55,1.12,,687.0,15.0,,2017-03-20 23:00:00
2017-03-23 10:00:00,55,1.35,,645.0,9.2,,2017-03-23 10:00:00
2017-03-25 17:00:00,30,0.18,,464.0,3.7,,2017-03-25 17:00:00
2017-03-27 03:45:00,166,1.38,SSC,708.0,15.3,ICME-shock,2017-03-27 03:45:00
2017-04-04 02:00:00,32,1.4,,440.0,16.2,,2017-04-04 02:00:00
2017-04-05 15:00:00,36,0.49,,497.0,10.4,,2017-04-05 15:00:00
2017-04-07 20:00:00,20,0.28,,597.0,10.0,,2017-04-07 20:00:00
2017-04-08 19:00:00,41,0.34,,599.0,9.0,,2017-04-08 19:00:00
2017-04-10 21:00:00,24,0.34,,490.0,7.3,,2017-04-10 21:00:00
2017-04-13 17:00:00,36,0.66,,446.0,7.9,,2017-04-13 17:00:00
2017-04-16 05:00:00,47,0.35,,359.0,5.2,,2017-04-16 05:00:00
2017-04-18 16:00:00,67,1.64,,605.0,15.3,,2017-04-18 16:00:00
2017-04-21 12:00:00,106,2.22,,761.0,13.1,,2017-04-21 12:00:00
2017-04-26 02:00:00,27,0.43,,577.0,5.1,,2017-04-26 02:00:00
2017-04-29 06:00:00,63,0.76,,399.0,7.6,,2017-04-29 06:00:00
2017-05-04 00:00:00,18,0.32,,351.0,3.5,,2017-05-04 00:00:00
2017-05-04 21:23:00,34,0.42,,399.0,8.0,,2017-05-04 21:23:00
2017-05-06 13:00:00,51,0.68,,387.0,8.5,,2017-05-06 13:00:00
2017-05-09 09:00:00,66,0.38,,398.0,8.4,,2017-05-09 09:00:00
2017-05-13 04:00:00,36,0.23,,341.0,8.8,,2017-05-13 04:00:00
2017-05-15 05:00:00,67,0.99,,608.0,14.9,,2017-05-15 05:00:00
2017-05-18 02:00:00,22,0.72,,437.0,9.4,,2017-05-18 02:00:00
2017-05-19 03:00:00,140,0.93,,733.0,12.4,,2017-05-19 03:00:00
