idx_izmiran,idx_catalog,dt_hours,subset,Date of event,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin,t_izmiran,group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year
35,32,7.866666666666666,all,2019.05.01 13:00:00,0.7,1.08,0.81,48,-0.18,9,9.1,-4.0,569.0,,2019-05-01 13:00:00+00:00,118,2019-05-01 20:52:00+00:00,2019-05-01 19:06:00+00:00,2019-05-01 19:06:00+00:00,2019-05-01 20:52:00+00:00,1.7666666666666666,1,1,KERG,3.865673832321704,3.865673832321704,9.992298886770767,2019-05-01 19:06:00+00:00,2019-05-01 19:06:00+00:00,2019-05-01 20:52:00+00:00,2019-05-01 20:52:00+00:00,3,"AATB,JUNG1,KERG",2,"AATB,JUNG1",2.8343341790709125,2.726076944353574,3.865673832321704,core,supported_multi_station_candidate,B,True,2019
11,13,9.016666666666667,all,2019.02.08 08:00:00,0.5,0.89,0.86,47,-0.23,9,7.0,-4.7,477.0,,2019-02-08 08:00:00+00:00,99,2019-02-08 17:01:00+00:00,2019-02-08 02:58:00+00:00,2019-02-07 15:44:00+00:00,2019-02-08 18:26:00+00:00,26.7,2,2,"JUNG1,KERG",3.478714279209453,4.06237733974599,4.2840718503151525,2019-02-07 15:44:00+00:00,2019-02-08 14:12:00+00:00,2019-02-08 15:36:00+00:00,2019-02-08 18:26:00+00:00,4,"INVK,JUNG1,KERG,LMKS",2,"INVK,LMKS",3.2311086241939675,3.087200982357449,4.06237733974599,core,supported_multi_station_candidate,A,False,2019
21,22,-9.133333333333333,all,2019.03.19 04:00:00,0.5,1.07,0.67,12,-0.2,9,7.1,-4.5,410.0,-13.0,2019-03-19 04:00:00+00:00,108,2019-03-18 18:52:00+00:00,2019-03-18 05:46:00+00:00,2019-03-18 05:46:00+00:00,2019-03-18 18:52:00+00:00,13.1,1,1,JUNG1,3.663938834048852,3.663938834048852,2.752339071145286,2019-03-18 05:46:00+00:00,2019-03-18 05:46:00+00:00,2019-03-18 18:52:00+00:00,2019-03-18 18:52:00+00:00,2,"AATB,JUNG1",1,AATB,3.1681447512273855,3.1681447512273855,3.663938834048852,core,supported_multi_station_candidate,B,True,2019
23,24,-9.133333333333333,all,2019.03.26 23:00:00,0.4,0.55,0.59,0,-0.2,9,7.2,-3.4,371.0,-6.0,2019-03-26 23:00:00+00:00,110,2019-03-26 13:52:00+00:00,2019-03-25 12:18:00+00:00,2019-03-25 03:06:00+00:00,2019-03-27 05:26:00+00:00,50.333333333333336,3,3,"AATB,KERG,LMKS",3.4244386344361164,3.7028387803043645,5.934239135853436,2019-03-25 03:06:00+00:00,2019-03-26 18:56:00+00:00,2019-03-26 02:02:00+00:00,2019-03-27 05:26:00+00:00,6,"AATB,INVK,JUNG1,KERG,LMKS,NEWK",3,"INVK,JUNG1,NEWK",3.804599859770183,3.771966135630934,4.611420476823211,core,supported_multi_station_candidate,A,False,2019
1,4,10.033333333333333,all,2019.01.10 14:00:00,0.6,0.82,0.65,14,-0.23,9,7.3,-3.0,509.0,-9.0,2019-01-10 14:00:00+00:00,90,2019-01-11 00:02:00+00:00,2019-01-10 20:28:00+00:00,2019-01-10 20:28:00+00:00,2019-01-11 00:02:00+00:00,3.566666666666667,1,1,KERG,5.0794555676964395,5.0794555676964395,6.0175541051585295,2019-01-10 20:28:00+00:00,2019-01-10 20:28:00+00:00,2019-01-11 00:02:00+00:00,2019-01-11 00:02:00+00:00,5,"DOMC,JUNG1,KERG,LMKS,NEWK",4,"DOMC,JUNG1,LMKS,NEWK",4.991722503583702,4.494472263481301,7.762035053967802,core,supported_multi_station_candidate,A,True,2019
18,20,-10.2,all,2019.03.11 11:00:00,1.1,0.66,0.58,51,-0.24,9,9.2,-6.3,396.0,,2019-03-11 11:00:00+00:00,106,2019-03-11 00:48:00+00:00,2019-03-09 22:48:00+00:00,2019-03-09 22:48:00+00:00,2019-03-11 00:48:00+00:00,26.0,1,1,LMKS,4.1049160234598725,4.1049160234598725,10.275095108241567,2019-03-09 22:48:00+00:00,2019-03-09 22:48:00+00:00,2019-03-11 00:48:00+00:00,2019-03-11 00:48:00+00:00,3,"AATB,KERG,LMKS",2,"AATB,KERG",3.215907320584158,3.263110865537956,4.1049160234598725,core,supported_multi_station_candidate,B,True,2019
6,6,10.283333333333333,all,2019.01.20 19:00:00,0.4,0.89,0.7,4,-0.18,9,5.2,-1.7,374.0,0.0,2019-01-20 19:00:00+00:00,92,2019-01-21 05:17:00+00:00,2019-01-20 02:43:00+00:00,2019-01-19 21:08:00+00:00,2019-01-21 07:28:00+00:00,34.333333333333336,2,2,"DOMC,KERG",5.924153303339993,6.973228781800019,6.206969041597407,2019-01-19 21:08:00+00:00,2019-01-20 08:18:00+00:00,2019-01-21 03:06:00+00:00,2019-01-21 07:28:00+00:00,3,"DOMC,JUNG1,KERG",1,JUNG1,4.7558510686834214,4.875077824879966,6.973228781800019,core,supported_multi_station_candidate,B,False,2019
113,80,10.566666666666666,all,2019.11.21 13:00:00,0.6,1.32,0.63,29,-0.23,9,11.4,-4.1,597.0,-21.0,2019-11-21 13:00:00+00:00,166,2019-11-21 23:34:00+00:00,2019-11-20 13:18:00+00:00,2019-11-20 13:18:00+00:00,2019-11-21 23:34:00+00:00,34.266666666666666,1,1,LMKS,2.496366884081408,2.496366884081408,3.0791040528110614,2019-11-20 13:18:00+00:00,2019-11-20 13:18:00+00:00,2019-11-21 23:34:00+00:00,2019-11-21 23:34:00+00:00,2,"AATB,LMKS",1,AATB,3.574339579721673,3.574339579721673,4.652312275361938,core,supported_multi_station_candidate,B,True,2019
9,10,-11.0,all,2019.02.03 18:00:00,0.4,0.85,0.76,2,-0.17,9,6.1,-4.0,544.0,-28.0,2019-02-03 18:00:00+00:00,96,2019-02-03 07:00:00+00:00,2019-02-02 05:18:00+00:00,2019-02-02 00:40:00+00:00,2019-02-03 15:00:00+00:00,38.333333333333336,2,2,"APTY,JUNG1",3.332601426583394,3.3966492391244705,7.119297244836099,2019-02-02 00:40:00+00:00,2019-02-02 09:56:00+00:00,2019-02-02 23:00:00+00:00,2019-02-03 15:00:00+00:00,3,"APTY,INVK,JUNG1",1,INVK,3.346258026266581,3.3735712256329564,3.3966492391244705,core,supported_multi_station_candidate,B,False,2019
19,21,-11.0,all,2019.03.15 02:00:00,0.5,0.83,0.61,21,-0.25,9,7.5,-3.4,443.0,-24.0,2019-03-15 02:00:00+00:00,107,2019-03-14 15:00:00+00:00,2019-03-13 07:32:00+00:00,2019-03-13 07:32:00+00:00,2019-03-14 15:00:00+00:00,31.466666666666665,1,1,JUNG1,4.234488222385423,4.234488222385423,3.202660544698106,2019-03-13 07:32:00+00:00,2019-03-13 07:32:00+00:00,2019-03-14 15:00:00+00:00,2019-03-14 15:00:00+00:00,3,"AATB,JUNG1,KERG",2,"AATB,KERG",3.5604571188376988,3.47688320007638,4.234488222385423,core,supported_multi_station_candidate,B,True,2019
48,42,-11.166666666666666,all,2019.06.06 09:00:00,0.4,0.68,0.54,5,-0.17,9,6.3,-2.4,321.0,-2.0,2019-06-06 09:00:00+00:00,128,2019-06-05 21:50:00+00:00,2019-06-05 05:34:00+00:00,2019-06-05 05:34:00+00:00,2019-06-05 21:50:00+00:00,16.266666666666666,1,1,KERG,3.4135115238824056,3.4135115238824056,3.658571411161506,2019-06-05 05:34:00+00:00,2019-06-05 05:34:00+00:00,2019-06-05 21:50:00+00:00,2019-06-05 21:50:00+00:00,3,"JUNG1,KERG,LMKS",2,"JUNG1,LMKS",3.304586338597698,3.4135115238824056,3.6869838439046028,core,supported_multi_station_candidate,B,True,2019
107,77,-11.766666666666667,all,2019.11.10 06:00:00,0.4,1.0,0.68,11,-0.3,9,4.5,-2.5,319.0,-23.0,2019-11-10 06:00:00+00:00,163,2019-11-09 18:14:00+00:00,2019-11-08 21:50:00+00:00,2019-11-07 15:02:00+00:00,2019-11-10 07:14:00+00:00,64.2,3,3,"AATB,INVK,KERG",4.487925734889717,5.600673093046234,6.09876976051595,2019-11-07 15:02:00+00:00,2019-11-09 02:10:00+00:00,2019-11-08 13:24:00+00:00,2019-11-10 07:14:00+00:00,4,"AATB,INVK,JUNG1,KERG",1,JUNG1,4.116160590050045,3.9315520558114594,5.600673093046234,core,supported_multi_station_candidate,A,False,2019
51,44,12.066666666666666,all,2019.06.19 12:00:00,0.7,0.82,0.96,22,-0.13,9,7.2,-2.3,358.0,-14.0,2019-06-19 12:00:00+00:00,130,2019-06-20 00:04:00+00:00,2019-06-19 09:04:00+00:00,2019-06-19 09:04:00+00:00,2019-06-20 00:04:00+00:00,15.0,1,1,KERG,3.90409910208104,3.90409910208104,11.150761121092383,2019-06-19 09:04:00+00:00,2019-06-19 09:04:00+00:00,2019-06-20 00:04:00+00:00,2019-06-20 00:04:00+00:00,3,"AATB,APTY,KERG",2,"AATB,APTY",3.479950996563261,3.896845680319049,3.90409910208104,core,supported_multi_station_candidate,B,True,2019
