repr_time,n_stations,stations,drop_mean,drop_max,A_complex_mean,A_complex_max
2020-05-26 18:16:00,2,"APTY,JUNG1",3.3467297068680923,4.61082970249289,5.7700118844990405,8.08592405983869
2020-05-28 02:08:00,3,"INVK,KERG,OULU",3.807018736468807,4.230962630371949,4.028524907258214,4.322553347962678
2020-05-29 00:52:00,3,"APTY,JUNG1,NEWK",3.1574281909185236,4.765455961051227,4.7666869127184,6.6586719314221
2020-05-29 13:38:00,3,"KERG,LMKS,OULU",4.343824121613301,5.556692094505365,4.081694925291184,5.047548521878765
2020-05-31 00:20:00,3,"APTY,JUNG1,OULU",3.547919251415047,4.664689041941974,4.622718562574757,5.819391671088498
2020-05-31 23:16:00,4,"INVK,LMKS,NEWK,OULU",4.044441543034612,4.883272202960662,4.212814269535172,5.484838776125065
2020-06-01 17:34:00,3,"APTY,KERG,MXCO",3.641030898948693,4.279419387634521,4.058124325585419,5.22754607011699
2020-06-03 06:34:00,4,"INVK,JUNG1,NEWK,OULU",3.7450762453695687,5.159423462039845,3.9449998817139167,4.8468035145679975
2020-06-04 00:26:00,2,"KERG,OULU",3.579052238034333,4.6400905316705074,4.5874534189906555,5.39690325302085
2020-06-05 11:44:00,5,"APTY,DOMC,INVK,JUNG1,KERG",4.107252185436408,9.519492056706921,3.8474483607093584,4.5503948675571
2020-06-08 01:30:00,6,"APTY,INVK,JUNG1,KERG,LMKS,OULU",3.6636992910364308,4.48437826714127,3.8852574895418575,4.895683727170688
2020-06-09 01:44:00,2,"AATB,KERG",3.0870908647366178,3.3536687775886502,5.921204569913109,7.196673976113863
2020-06-10 06:54:00,5,"APTY,JUNG1,KERG,LMKS,NEWK",3.053660456464776,3.8016398057153875,4.1226910179234215,4.78531302203031
2020-06-10 20:32:00,1,NEWK,3.884219178613465,3.884219178613465,5.4575742308587305,5.4575742308587305
2020-06-11 14:20:00,5,"AATB,INVK,JUNG1,LMKS,OULU",2.6562859985500706,3.9489199920182876,4.322743789765153,4.919625896602611
2020-06-12 14:12:00,4,"APTY,JUNG1,MXCO,NEWK",3.2628964169296344,4.085105615292638,3.8531119528173625,4.52710509008415
2020-06-13 06:50:00,1,LMKS,2.395859352040897,2.395859352040897,4.0323294948698365,4.0323294948698365
2020-06-14 06:00:00,6,"AATB,APTY,INVK,KERG,MXCO,OULU",3.7406967743520783,5.031279030666243,4.6120021026002185,6.658670468184911
