group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year
97,2019-02-05 02:24:00+00:00,2019-02-04 12:08:00+00:00,2019-02-04 12:08:00+00:00,2019-02-05 02:24:00+00:00,14.266666666666667,1,1,KERG,3.4369486714000663,3.4369486714000663,8.355639012995804,2019-02-04 12:08:00+00:00,2019-02-04 12:08:00+00:00,2019-02-05 02:24:00+00:00,2019-02-05 02:24:00+00:00,1,KERG,0,,3.4369486714000663,3.4369486714000663,3.4369486714000663,exploratory,single_station_candidate,C,False,2019
104,2019-03-04 23:04:00+00:00,2019-03-04 20:38:00+00:00,2019-03-04 20:38:00+00:00,2019-03-04 23:04:00+00:00,2.433333333333333,1,1,LMKS,2.684775696639613,2.684775696639613,11.834657245783944,2019-03-04 20:38:00+00:00,2019-03-04 20:38:00+00:00,2019-03-04 23:04:00+00:00,2019-03-04 23:04:00+00:00,1,LMKS,0,,2.684775696639613,2.684775696639613,2.684775696639613,exploratory,single_station_candidate,C,False,2019
112,2019-03-31 19:26:00+00:00,2019-03-31 02:26:00+00:00,2019-03-31 02:26:00+00:00,2019-03-31 19:26:00+00:00,17.0,1,1,APTY,3.4743015199349205,3.4743015199349205,3.243163095574415,2019-03-31 02:26:00+00:00,2019-03-31 02:26:00+00:00,2019-03-31 19:26:00+00:00,2019-03-31 19:26:00+00:00,1,APTY,0,,3.4743015199349205,3.4743015199349205,3.4743015199349205,exploratory,single_station_candidate,C,False,2019
117,2019-04-28 17:18:00+00:00,2019-04-27 13:16:00+00:00,2019-04-27 13:16:00+00:00,2019-04-28 17:18:00+00:00,28.033333333333335,1,1,LMKS,5.933574532700791,5.933574532700791,4.385862774811571,2019-04-27 13:16:00+00:00,2019-04-27 13:16:00+00:00,2019-04-28 17:18:00+00:00,2019-04-28 17:18:00+00:00,1,LMKS,0,,5.933574532700791,5.933574532700791,5.933574532700791,exploratory,single_station_candidate,C,False,2019
127,2019-06-01 12:30:00+00:00,2019-05-31 22:20:00+00:00,2019-05-31 22:20:00+00:00,2019-06-01 12:30:00+00:00,14.166666666666666,1,1,AATB,2.6500370704097795,2.6500370704097795,4.742483967032374,2019-05-31 22:20:00+00:00,2019-05-31 22:20:00+00:00,2019-06-01 12:30:00+00:00,2019-06-01 12:30:00+00:00,1,AATB,0,,2.6500370704097795,2.6500370704097795,2.6500370704097795,exploratory,single_station_candidate,C,False,2019
131,2019-06-22 17:50:00+00:00,2019-06-21 20:40:00+00:00,2019-06-21 20:40:00+00:00,2019-06-22 17:50:00+00:00,21.166666666666668,1,1,JUNG1,3.0163249301827015,3.0163249301827015,4.260740027327144,2019-06-21 20:40:00+00:00,2019-06-21 20:40:00+00:00,2019-06-22 17:50:00+00:00,2019-06-22 17:50:00+00:00,1,JUNG1,0,,3.0163249301827015,3.0163249301827015,3.0163249301827015,exploratory,single_station_candidate,C,False,2019
134,2019-07-07 02:14:00+00:00,2019-07-05 19:12:00+00:00,2019-07-05 19:12:00+00:00,2019-07-07 02:14:00+00:00,31.033333333333335,1,1,JUNG1,3.113110601822671,3.113110601822671,8.292905634934456,2019-07-05 19:12:00+00:00,2019-07-05 19:12:00+00:00,2019-07-07 02:14:00+00:00,2019-07-07 02:14:00+00:00,1,JUNG1,0,,3.113110601822671,3.113110601822671,3.113110601822671,exploratory,single_station_candidate,C,False,2019
135,2019-07-13 02:00:00+00:00,2019-07-12 06:54:00+00:00,2019-07-12 06:54:00+00:00,2019-07-13 02:00:00+00:00,19.1,1,1,JUNG1,4.525278130797939,4.525278130797939,7.618220595575661,2019-07-12 06:54:00+00:00,2019-07-12 06:54:00+00:00,2019-07-13 02:00:00+00:00,2019-07-13 02:00:00+00:00,1,JUNG1,0,,4.525278130797939,4.525278130797939,4.525278130797939,exploratory,single_station_candidate,C,False,2019
138,2019-07-28 21:28:00+00:00,2019-07-28 21:08:00+00:00,2019-07-28 21:08:00+00:00,2019-07-28 21:28:00+00:00,0.3333333333333333,1,1,JUNG1,4.2946169859434296,4.2946169859434296,10.058297086374578,2019-07-28 21:08:00+00:00,2019-07-28 21:08:00+00:00,2019-07-28 21:28:00+00:00,2019-07-28 21:28:00+00:00,1,JUNG1,0,,4.2946169859434296,4.2946169859434296,4.2946169859434296,exploratory,single_station_candidate,C,False,2019
143,2019-08-16 00:28:00+00:00,2019-08-14 16:38:00+00:00,2019-08-14 16:38:00+00:00,2019-08-16 00:28:00+00:00,31.833333333333332,1,1,AATB,2.911300683536864,2.911300683536864,8.753831497022153,2019-08-14 16:38:00+00:00,2019-08-14 16:38:00+00:00,2019-08-16 00:28:00+00:00,2019-08-16 00:28:00+00:00,1,AATB,0,,2.911300683536864,2.911300683536864,2.911300683536864,exploratory,single_station_candidate,C,False,2019
