station,onset_time,min_time,rec_time,drop_percent,A_complex_max,bg_level_pre,level
MXCO,2024-05-10 21:50:00,2024-05-11 00:12:00,2024-05-11 00:36:00,7.345255118687006,5.667984203915094,0.9358532759485119,strict
MXCO,2024-06-21 17:56:00,2024-06-22 04:52:00,2024-06-22 04:54:00,3.3687350116800783,5.429049883423685,0.056463749597887296,strict
MXCO,2024-11-02 12:40:00,2024-11-04 07:36:00,2024-11-04 07:38:00,2.659809617322195,5.777283988294483,-0.28957143427726173,strict
MXCO,2024-11-02 19:56:00,2024-11-04 07:36:00,2024-11-04 07:38:00,2.6430981648862315,5.084027353568699,-0.30628288671322496,strict
MXCO,2024-11-23 18:14:00,2024-11-25 10:10:00,2024-11-25 10:12:00,3.6242659222352134,5.042367857187741,0.2223928909662217,strict
MXCO,2024-12-14 06:54:00,2024-12-15 07:42:00,2024-12-15 07:46:00,2.73243424024964,4.580934208290046,-0.15150479843734987,strict
MXCO,2024-12-23 02:34:00,2024-12-24 01:12:00,2024-12-24 01:14:00,3.2071804678584,4.334843212845872,-0.21327728181781538,strict
MXCO,2024-12-25 03:54:00,2024-12-26 11:30:00,2024-12-26 11:32:00,4.284113462995442,5.359046793639948,-0.02394922763741414,strict
MXCO,2024-12-27 13:38:00,2024-12-28 11:50:00,2024-12-28 11:54:00,3.0727556034999366,5.4257163946980524,0.04410883375285291,strict
MXCO,2025-03-02 05:56:00,2025-03-02 20:26:00,2025-03-02 20:28:00,3.355061309204957,6.78024853221134,-0.25046992481203734,strict
MXCO,2025-03-04 01:30:00,2025-03-05 03:40:00,2025-03-05 03:42:00,2.954224480137279,4.650432888334852,-0.045018429419532005,strict
MXCO,2025-03-11 02:30:00,2025-03-12 10:48:00,2025-03-12 10:50:00,3.99644855920962,5.439442810009366,0.05482019444769367,strict
MXCO,2025-04-10 00:12:00,2025-04-10 14:06:00,2025-04-10 14:08:00,2.847753487106165,4.812480049252067,-0.1484406694603798,strict
MXCO,2025-05-09 13:28:00,2025-05-09 17:08:00,2025-05-09 17:10:00,3.377537709330697,5.121490899903333,0.17029473609577125,strict
MXCO,2025-05-18 04:12:00,2025-05-19 06:28:00,2025-05-19 06:30:00,2.533690860890977,4.995667552580241,-0.0018411628784828352,strict
MXCO,2025-06-01 08:10:00,2025-06-01 10:16:00,2025-06-04 10:48:00,6.945503810861676,6.421150161352328,0.189066296096729,strict
MXCO,2025-07-14 05:06:00,2025-07-15 23:46:00,2025-07-15 23:48:00,3.769955215455252,5.0060265675966935,-0.04684586772600523,strict
MXCO,2025-09-02 13:00:00,2025-09-04 02:36:00,2025-09-04 02:38:00,3.5027556224036243,4.986955591548282,0.10728340497668672,strict
MXCO,2025-10-15 00:32:00,2025-10-15 04:46:00,2025-10-15 04:48:00,6.270969722139279,14.234174883987784,-0.03102597249970737,strict
MXCO,2025-11-12 00:00:00,2025-11-12 09:56:00,2025-11-12 09:58:00,3.1153884140032266,8.254484367797735,0.7449001280219887,strict
JUNG1,2018-01-01 01:28:00,2018-01-02 19:30:00,2018-01-02 19:36:00,4.92580463644382,8.011325891761555,0.8808245232818304,strict
JUNG1,2018-01-01 12:12:00,2018-01-02 19:30:00,2018-01-02 19:36:00,4.603207036750602,5.378558505880918,0.5582269235886126,strict
JUNG1,2018-01-03 07:38:00,2018-01-04 16:48:00,2018-01-04 16:50:00,3.1671720168494124,6.4179188905478215,-0.42042650892566713,strict
JUNG1,2018-01-10 05:10:00,2018-01-10 07:30:00,2018-01-10 07:32:00,2.391447262725074,6.310480841552357,-0.07937105835253017,strict
JUNG1,2018-06-20 09:30:00,2018-06-22 04:56:00,2018-06-22 04:58:00,2.5947891850892484,5.453841410060798,0.0398604882909781,strict
JUNG1,2018-07-08 21:44:00,2018-07-10 15:34:00,2018-07-10 15:36:00,3.0335989001306234,4.85238446122111,0.054672450705376456,strict
JUNG1,2018-07-14 13:30:00,2018-07-16 02:00:00,2018-07-16 02:02:00,2.7213664957167447,5.704292783269459,0.11854714734772427,strict
JUNG1,2018-07-24 07:10:00,2018-07-24 22:26:00,2018-07-24 22:28:00,3.295533967733682,5.663595322849615,0.2486984186968074,strict
JUNG1,2018-07-30 09:26:00,2018-07-31 20:38:00,2018-07-31 20:42:00,3.4081284819686544,5.051854097096549,0.08085062496896366,strict
JUNG1,2018-08-03 05:58:00,2018-08-04 19:44:00,2018-08-04 19:46:00,2.6047765377061256,4.592248792104747,-0.03812700756546664,strict
JUNG1,2018-09-05 09:30:00,2018-09-07 07:26:00,2018-09-07 07:32:00,3.657438157709906,5.303064537445301,0.11854515302466949,strict
JUNG1,2018-09-20 04:48:00,2018-09-21 21:44:00,2018-09-21 21:46:00,3.128041811777274,5.783986542735978,-0.23215299988182664,strict
JUNG1,2018-09-20 19:54:00,2018-09-21 21:44:00,2018-09-21 21:46:00,3.319260596248527,4.851254479482119,-0.040934215410573876,strict
JUNG1,2018-10-10 01:06:00,2018-10-11 13:46:00,2018-10-11 13:48:00,2.900825638907497,6.009940036625846,-0.03290994328476425,strict
JUNG1,2018-10-12 01:22:00,2018-10-12 13:16:00,2018-10-12 13:18:00,2.596014639594724,5.388451334141823,-0.2958815651132269,strict
JUNG1,2019-01-04 17:14:00,2019-01-05 22:24:00,2019-01-05 22:26:00,2.9811242201157184,11.275950708907407,0.039758092346384964,strict
JUNG1,2019-01-20 18:46:00,2019-01-22 09:54:00,2019-01-22 09:56:00,3.9775232768001234,4.480597263414187,0.11736342923753075,strict
JUNG1,2019-01-22 05:40:00,2019-01-22 09:54:00,2019-01-22 09:56:00,3.9120600297428156,6.811375078862262,0.051900182180223256,strict
JUNG1,2019-01-22 09:30:00,2019-01-22 09:54:00,2019-01-22 09:56:00,3.8743353186982823,8.842402633887895,0.014175471135689847,strict
JUNG1,2019-02-25 05:02:00,2019-02-25 17:56:00,2019-02-25 18:00:00,2.451028879164343,5.992647946833954,0.04531504525558886,strict
JUNG1,2019-03-27 02:20:00,2019-03-28 18:58:00,2019-03-28 19:00:00,4.263505079216245,7.080833716689639,0.15620094293779652,strict
JUNG1,2019-03-28 00:58:00,2019-03-29 08:48:00,2019-03-29 08:52:00,9.041940008022257,13.526312718391726,0.24555892308031918,strict
JUNG1,2019-03-28 12:12:00,2019-03-29 08:48:00,2019-03-29 08:52:00,8.941071368292656,19.13112777951059,0.14469028335071832,strict
JUNG1,2019-03-29 12:44:00,2019-03-30 23:10:00,2019-03-30 23:12:00,4.480636743403225,26.779768580060544,-0.26706215930611316,strict
JUNG1,2019-03-29 18:08:00,2019-03-30 23:10:00,2019-03-30 23:12:00,4.579754997236361,10.492407621289889,-0.16794390547297677,strict
JUNG1,2019-03-30 20:30:00,2019-03-30 23:10:00,2019-03-30 23:12:00,4.693021213299542,7.30464121107291,-0.05467768940979573,strict
JUNG1,2019-03-31 05:30:00,2019-04-01 23:38:00,2019-04-01 23:40:00,4.750696043860237,10.648590797245157,-0.04499837796543722,strict
JUNG1,2019-07-03 18:50:00,2019-07-05 09:14:00,2019-07-05 09:16:00,2.624111571880633,5.5832404593686755,0.13653311588703396,strict
JUNG1,2019-07-10 03:02:00,2019-07-11 15:40:00,2019-07-11 15:42:00,2.507464261087729,5.216940451790127,-0.06893121270960885,strict
