group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year,omni_Bz_min,omni_Speed_max,omni_IMF_max,omni_Density_mean,feid_matched,feid_dt_h,feid_magnitude,feid_ons_label,feid_Vmax,feid_Bmax,feid_has_shock,cond_A_bz,cond_B_speed,cond_C_imf,fd_like_confirmed,bz_min,speed_max,imf_max,dv_max,bz_consec_min,imf_consec_min,match_time,month,feid_idx,feid_ons,feid_mag_36h,feid_vmax_36h,feid_bmax_36h,feid_matched_36h,driver,group_span_h_tc,n_trigger_stations_tc,trigger_A_complex_mean_tc,trigger_drop_max_tc,trigger_drop_mean_tc,duration_h,A_complex_mean,drop_max,n_trig_stations,n_sup_stations,delta_t_h
11,2016-03-10 17:08:00,2016-03-10 17:08:00,2016-03-10 09:32:00,2016-03-12 02:10:00,40.63333333333333,5,5,"APTY,BKSN,FSMT,LMKS,NEWK",4.667715519807805,5.850644239366942,9.078276649035868,2016-03-10 09:32:00,2016-03-12 00:46:00,2016-03-11 18:18:00,2016-03-12 02:10:00,14,"AATB,APTY,ATHN,BKSN,CALM,DRBS,FSMT,JUNG,JUNG1,KIEL2,LMKS,MXCO,NEWK,OULU",9,"AATB,ATHN,CALM,DRBS,JUNG,JUNG1,KIEL2,MXCO,OULU",5.47838024984178,5.104242173947007,11.402152761939837,core,supported_multi_station_candidate,A,False,2016,-9.362333333333334,563.4566666666667,21.834333333333333,10.614079861111112,True,11.866666666666667,1.71,,569.0,22.9,False,True,True,False,True,-4.93,357.2,5.9,35.5,144.0,0.0,2016-03-10 17:08:00,3,33,,1.71,569.0,22.9,True,unclassified,40.63333333333333,5,9.078276649035868,5.850644239366942,4.667715519807805,40.63333333333333,9.078276649035868,5.850644239366942,5,14,11.866666666666667
12,2016-03-14 18:58:00,2016-03-14 18:58:00,2016-03-14 18:58:00,2016-03-15 01:36:00,6.633333333333334,1,1,OULU,4.739412576001749,4.739412576001749,8.631291799503147,2016-03-14 18:58:00,2016-03-14 18:58:00,2016-03-15 01:36:00,2016-03-15 01:36:00,3,"AATB,LMKS,OULU",2,"AATB,LMKS",3.584345295305134,3.405473755996064,4.739412576001749,core,supported_multi_station_candidate,B,True,2016,-4.568166666666667,571.9091666666667,19.82,7.24179292929293,True,1.7333333333333334,0.85,SSC,563.0,19.7,True,True,True,True,True,-17.11,624.3,24.174999999999997,260.69999999999993,80.0,214.0,2016-03-14 18:58:00,3,34,SSC,0.85,563.0,19.7,True,SSC,6.633333333333334,1,8.631291799503147,4.739412576001749,4.739412576001749,6.633333333333334,8.631291799503147,4.739412576001749,1,3,1.7333333333333334
13,2016-03-15 19:35:00,2016-03-15 19:35:00,2016-03-15 15:04:00,2016-03-16 06:56:00,15.866666666666667,2,2,"LMKS,NEWK",4.990762311766078,6.582807064025937,8.981609438896335,2016-03-15 15:04:00,2016-03-16 00:06:00,2016-03-15 15:34:00,2016-03-16 06:56:00,3,"JUNG,LMKS,NEWK",1,JUNG,5.001506000232257,5.022993377164616,6.582807064025937,core,supported_multi_station_candidate,B,False,2016,-5.376499999999999,573.7741666666667,19.82,6.726282176604757,False,21.416666666666668,,,,,False,False,True,True,True,-7.539999999999999,577.1,9.77,103.39999999999998,52.0,162.0,2016-03-15 19:35:00,3,35,,1.13,575.0,9.6,True,unclassified,15.866666666666667,2,8.981609438896335,6.582807064025937,4.990762311766078,15.866666666666667,8.981609438896335,6.582807064025937,2,3,21.416666666666668
14,2016-03-18 18:08:00,2016-03-18 18:08:00,2016-03-18 18:08:00,2016-03-18 23:06:00,4.966666666666667,1,1,LMKS,3.08163100448641,3.08163100448641,12.531884897310588,2016-03-18 18:08:00,2016-03-18 18:08:00,2016-03-18 23:06:00,2016-03-18 23:06:00,1,LMKS,0,,3.08163100448641,3.08163100448641,3.08163100448641,exploratory,single_station_candidate,C,False,2016,-7.235833333333333,573.7741666666667,9.102666666666666,4.306600806451613,True,6.133333333333334,0.63,,468.0,8.9,False,False,True,False,True,-5.115,493.1,7.49,83.15000000000003,18.0,0.0,2016-03-18 18:08:00,3,36,,0.63,468.0,8.9,True,unclassified,4.966666666666667,1,12.531884897310588,3.08163100448641,3.08163100448641,4.966666666666667,12.531884897310588,3.08163100448641,1,1,6.133333333333334
15,2016-03-21 23:32:00,2016-03-21 23:32:00,2016-03-21 15:30:00,2016-03-24 00:06:00,56.6,3,3,"AATB,LMKS,NEWK",3.636921848106564,5.028602869505924,4.0518818036452,2016-03-21 15:30:00,2016-03-22 23:06:00,2016-03-22 14:48:00,2016-03-24 00:06:00,10,"AATB,APTY,FSMT,JUNG,JUNG1,KIEL2,LMKS,MXCO,NEWK,OULU",7,"APTY,FSMT,JUNG,JUNG1,KIEL2,MXCO,OULU",3.8707180183950456,3.6479285766384697,5.260782097208376,core,supported_multi_station_candidate,A,False,2016,-5.6979999999999995,470.87,9.4785,6.820638020833333,True,3.466666666666667,0.44,,437.0,7.1,False,False,True,False,True,-4.245,437.9,7.609999999999999,55.85000000000002,14.0,0.0,2016-03-21 23:32:00,3,38,,0.44,437.0,7.1,True,unclassified,56.6,3,4.0518818036452,5.028602869505924,3.636921848106564,56.6,4.0518818036452,5.028602869505924,3,10,3.466666666666667
16,2016-03-25 00:40:00,2016-03-25 00:40:00,2016-03-24 23:04:00,2016-03-26 01:32:00,26.466666666666665,3,3,"AATB,JUNG,JUNG1",3.299991075112043,4.168913903863743,7.199969169650811,2016-03-24 23:04:00,2016-03-25 15:26:00,2016-03-25 20:14:00,2016-03-26 01:32:00,3,"AATB,JUNG,JUNG1",0,,3.299991075112043,3.593426452239318,4.168913903863743,core,supported_multi_station_candidate,B,False,2016,-5.022833333333334,552.8641666666666,10.792166666666668,6.127229263117283,True,15.666666666666666,0.91,,555.0,7.8,False,False,True,False,True,-5.0649999999999995,572.2,8.75,101.00000000000006,18.0,12.0,2016-03-25 00:40:00,3,40,,0.91,555.0,7.8,True,unclassified,26.466666666666665,3,7.199969169650811,4.168913903863743,3.299991075112043,26.466666666666665,7.199969169650811,4.168913903863743,3,3,15.666666666666666
17,2016-03-28 23:02:00,2016-03-28 23:02:00,2016-03-28 23:02:00,2016-03-30 06:54:00,31.866666666666667,1,1,LMKS,3.218836222145354,3.218836222145354,8.077753567268108,2016-03-28 23:02:00,2016-03-28 23:02:00,2016-03-30 06:54:00,2016-03-30 06:54:00,4,"BKSN,JUNG,JUNG1,LMKS",3,"BKSN,JUNG,JUNG1",3.671003854811102,3.571853942077727,4.4876879212783525,core,supported_multi_station_candidate,A,True,2016,-7.1185,561.045,11.9195,6.361046388028897,False,22.033333333333335,,,,,False,False,True,False,True,-7.505,564.7,8.525,85.30000000000007,32.0,16.0,2016-03-28 23:02:00,3,42,,0.68,555.0,8.4,True,unclassified,31.866666666666667,1,8.077753567268108,3.218836222145354,3.218836222145354,31.866666666666667,8.077753567268108,3.218836222145354,1,4,22.033333333333335
18,2016-04-03 04:05:00,2016-04-03 04:05:00,2016-04-02 15:36:00,2016-04-06 04:16:00,84.66666666666667,6,6,"FSMT,JUNG1,KIEL2,MXCO,NEWK,OULU",4.175329089027131,5.45410724427521,5.214617730822124,2016-04-02 15:36:00,2016-04-05 02:02:00,2016-04-03 01:46:00,2016-04-06 04:16:00,9,"AATB,FSMT,JUNG,JUNG1,KIEL2,LMKS,MXCO,NEWK,OULU",3,"AATB,JUNG,LMKS",3.839865193366614,3.670719700861464,5.45410724427521,core,supported_multi_station_candidate,A,False,2016,-6.174833333333334,510.805,14.362916666666669,6.802458333333334,True,13.566666666666666,1.02,SSC,512.0,14.6,True,True,True,True,True,-11.32,526.9,16.735,115.0,92.0,324.0,2016-04-03 04:05:00,4,43,SSC,1.02,512.0,14.6,True,SSC,84.66666666666667,6,5.214617730822124,5.45410724427521,4.175329089027131,84.66666666666667,5.214617730822124,5.45410724427521,6,9,13.566666666666666
19,2016-04-07 06:16:00,2016-04-07 06:16:00,2016-04-06 23:02:00,2016-04-08 05:06:00,30.066666666666663,2,2,"AATB,FSMT",2.9694556757402655,3.817162295936261,7.216243293784598,2016-04-06 23:02:00,2016-04-07 13:30:00,2016-04-07 15:44:00,2016-04-08 05:06:00,4,"AATB,FSMT,JUNG,LMKS",2,"JUNG,LMKS",3.245580986633714,3.521706297527164,3.817162295936261,core,supported_multi_station_candidate,A,False,2016,-10.972833333333334,429.1458333333333,11.797333333333334,10.289693164362518,True,5.733333333333333,1.15,,390.0,12.1,False,False,True,True,True,-2.29,387.3,8.649999999999999,41.19999999999999,0.0,70.0,2016-04-07 06:16:00,4,45,,1.15,390.0,12.1,True,unclassified,30.066666666666663,2,7.216243293784598,3.817162295936261,2.9694556757402655,30.066666666666663,7.216243293784598,3.817162295936261,2,4,5.733333333333333
20,2016-04-10 16:43:00,2016-04-10 16:43:00,2016-04-10 02:54:00,2016-04-12 06:08:00,51.233333333333334,8,8,"AATB,APTY,ATHN,BKSN,FSMT,JUNG1,KIEL2,NEWK",4.968959159231057,6.466727542960815,5.305923944053223,2016-04-10 02:54:00,2016-04-10 23:06:00,2016-04-10 22:12:00,2016-04-12 06:08:00,13,"AATB,APTY,ATHN,BKSN,CALM,DRBS,FSMT,JUNG,JUNG1,KIEL2,NANM,NEWK,OULU",5,"CALM,DRBS,JUNG,NANM,OULU",5.291609980682055,5.564682362033935,7.170655375350993,core,supported_multi_station_candidate,A,False,2016,-5.504333333333333,439.6166666666667,12.153166666666667,9.963046006944444,True,12.716666666666667,1.15,,397.0,8.7,False,True,True,True,True,-4.845,422.0,9.52,77.25,118.0,144.0,2016-04-10 16:43:00,4,46,,1.15,397.0,8.7,True,unclassified,51.233333333333334,8,5.305923944053223,6.466727542960815,4.968959159231057,51.233333333333334,5.305923944053223,6.466727542960815,8,13,12.716666666666667
21,2016-04-13 20:30:00,2016-04-13 20:30:00,2016-04-13 10:48:00,2016-04-15 01:44:00,38.93333333333333,4,4,"AATB,FSMT,JUNG1,KIEL2",3.775504803017757,5.265965546716081,7.03540004074261,2016-04-13 10:48:00,2016-04-14 12:40:00,2016-04-14 13:52:00,2016-04-15 01:44:00,13,"AATB,APTY,BKSN,CALM,FSMT,JUNG,JUNG1,KIEL2,LMKS,MXCO,NANM,NEWK,OULU",9,"APTY,BKSN,CALM,JUNG,LMKS,MXCO,NANM,NEWK,OULU",4.92336711199838,4.997207255241394,7.513152473968132,core,supported_multi_station_candidate,A,False,2016,-8.662333333333333,611.4416666666667,15.346833333333334,7.840671006944444,True,7.5,1.03,,562.0,7.5,False,True,True,False,True,-6.84,636.6,7.965,123.60000000000002,90.0,0.0,2016-04-13 20:30:00,4,48,,1.03,562.0,7.5,True,unclassified,38.93333333333333,4,7.03540004074261,5.265965546716081,3.775504803017757,38.93333333333333,7.03540004074261,5.265965546716081,4,13,7.5
22,2016-04-18 20:53:00,2016-04-18 20:53:00,2016-04-17 16:24:00,2016-04-21 20:18:00,99.9,12,12,"AATB,APTY,ATHN,BKSN,FSMT,JUNG,JUNG1,KIEL2,LMKS,MXCO,NEWK,OULU",4.799597305824672,7.142303974781548,6.043594476991185,2016-04-17 16:24:00,2016-04-21 08:18:00,2016-04-18 19:14:00,2016-04-21 20:18:00,15,"AATB,APTY,ATHN,BKSN,CALM,DRBS,FSMT,JUNG,JUNG1,KIEL2,LMKS,MXCO,NANM,NEWK,OULU",3,"CALM,DRBS,NANM",5.231171327599627,4.743276123886386,8.963735686291518,core,supported_multi_station_candidate,A,False,2016,-6.978666666666667,433.6183333333333,12.238,8.733003472222222,True,10.883333333333333,0.47,,389.0,7.3,False,False,True,False,True,-4.9350000000000005,417.1,7.69,52.400000000000034,8.0,0.0,2016-04-18 20:53:00,4,53,,0.47,389.0,7.3,True,unclassified,99.9,12,6.043594476991185,7.142303974781548,4.799597305824672,99.9,6.043594476991185,7.142303974781548,12,15,10.883333333333333
23,2016-04-22 14:38:00,2016-04-22 14:38:00,2016-04-22 14:38:00,2016-04-23 18:22:00,27.733333333333334,1,1,JUNG1,4.506397251397061,4.506397251397061,4.319429953747938,2016-04-22 14:38:00,2016-04-22 14:38:00,2016-04-23 18:22:00,2016-04-23 18:22:00,3,"BKSN,JUNG,JUNG1",2,"BKSN,JUNG",3.9674516870584657,4.040592497123327,4.506397251397061,core,supported_multi_station_candidate,B,True,2016,-4.544666666666667,573.2666666666667,12.250166666666669,8.139449327256946,True,9.633333333333333,0.75,,587.0,12.1,False,False,True,True,True,-12.41,606.3,14.32,131.24999999999994,46.0,428.0,2016-04-22 14:38:00,4,56,,0.75,587.0,12.1,True,unclassified,27.733333333333334,1,4.319429953747938,4.506397251397061,4.506397251397061,27.733333333333334,4.319429953747938,4.506397251397061,1,3,9.633333333333333
24,2016-04-25 15:30:00,2016-04-25 15:30:00,2016-04-24 07:42:00,2016-04-27 18:34:00,82.86666666666666,3,3,"BKSN,JUNG1,LMKS",3.628902051144809,4.681404159290802,3.8603203447411274,2016-04-24 07:42:00,2016-04-27 08:48:00,2016-04-25 04:24:00,2016-04-27 18:34:00,6,"BKSN,DRBS,JUNG1,KIEL2,LMKS,NEWK",3,"DRBS,KIEL2,NEWK",4.653161875023625,4.480597567377349,7.473806779979506,core,supported_multi_station_candidate,A,False,2016,-4.1819999999999995,551.1233333333333,10.259333333333332,5.035836805555555,False,,,,,,False,False,True,False,True,-4.645,542.95,6.6850000000000005,55.80000000000001,14.0,0.0,2016-04-25 15:30:00,4,-1,,,,,False,unmatched,82.86666666666666,3,3.8603203447411274,4.681404159290802,3.628902051144809,82.86666666666666,3.8603203447411274,4.681404159290802,3,6,
25,2016-04-30 06:37:00,2016-04-30 06:37:00,2016-04-30 00:48:00,2016-05-01 17:16:00,40.46666666666667,2,2,"BKSN,JUNG",4.540353811974311,5.147565500034208,7.916145769034651,2016-04-30 00:48:00,2016-04-30 12:26:00,2016-05-01 01:40:00,2016-05-01 17:16:00,8,"APTY,BKSN,FSMT,JUNG,JUNG1,LMKS,NANM,OULU",6,"APTY,FSMT,JUNG1,LMKS,NANM,OULU",4.235982148219782,4.184390103579446,5.147565500034208,core,supported_multi_station_candidate,A,False,2016,-7.474333333333333,461.03,10.5505,7.927032507900185,True,2.216666666666667,0.96,SI,405.0,8.9,True,False,True,True,True,-3.44,371.2999999999999,8.71,33.099999999999966,16.0,72.0,2016-04-30 06:37:00,4,58,SI,0.96,405.0,8.9,True,SI,40.46666666666667,2,7.916145769034651,5.147565500034208,4.540353811974311,40.46666666666667,7.916145769034651,5.147565500034208,2,8,2.216666666666667
26,2016-05-03 00:52:00,2016-05-03 00:52:00,2016-05-02 09:58:00,2016-05-03 23:40:00,37.7,3,3,"APTY,FSMT,JUNG1",3.851198499851415,4.0835828618509735,5.219002490507848,2016-05-02 09:58:00,2016-05-03 01:50:00,2016-05-03 12:12:00,2016-05-03 23:40:00,6,"APTY,FSMT,JUNG,JUNG1,KERG,LMKS",3,"JUNG,KERG,LMKS",3.773559649807507,3.735006318851636,4.324810848927074,core,supported_multi_station_candidate,A,False,2016,-7.474333333333333,567.4283333333333,10.5505,5.5617921570229925,False,35.86666666666667,,,,,False,True,True,True,True,-7.140000000000001,584.3,9.41,105.59999999999997,86.0,96.0,2016-05-03 00:52:00,5,59,,0.81,573.0,11.0,True,unclassified,37.7,3,5.219002490507848,4.0835828618509735,3.851198499851415,37.7,5.219002490507848,4.0835828618509735,3,6,35.86666666666667
27,2016-05-07 09:20:00,2016-05-07 09:20:00,2016-05-07 07:02:00,2016-05-07 21:22:00,14.333333333333334,3,3,"BKSN,JUNG1,LMKS",3.8020900401263167,5.116505616444348,5.703739898994068,2016-05-07 07:02:00,2016-05-07 11:24:00,2016-05-07 19:04:00,2016-05-07 21:22:00,7,"AATB,BKSN,FSMT,JUNG,JUNG1,LMKS,NEWK",4,"AATB,FSMT,JUNG,NEWK",3.82143011097864,3.4815425378238376,5.628908013662017,core,supported_multi_station_candidate,A,False,2016,-11.9295,656.8983333333333,16.185166666666667,7.690323215673216,True,14.333333333333334,1.31,,528.0,9.9,False,False,True,True,True,-4.95,539.45,10.32,136.05000000000007,40.0,102.0,2016-05-07 09:20:00,5,62,,1.31,528.0,9.9,True,unclassified,14.333333333333334,3,5.703739898994068,5.116505616444348,3.8020900401263167,14.333333333333334,5.703739898994068,5.116505616444348,3,7,14.333333333333334
28,2016-05-14 15:50:00,2016-05-14 15:50:00,2016-05-13 16:26:00,2016-05-16 00:28:00,56.03333333333333,6,6,"AATB,BKSN,FSMT,LMKS,NEWK,OULU",4.613053491766986,6.369758211242442,7.287284441385936,2016-05-13 16:26:00,2016-05-15 08:04:00,2016-05-14 01:08:00,2016-05-16 00:28:00,13,"AATB,APTY,ATHN,BKSN,DRBS,FSMT,JUNG1,KERG,KIEL2,LMKS,NANM,NEWK,OULU",7,"APTY,ATHN,DRBS,JUNG1,KERG,KIEL2,NANM",5.0219884039106315,4.705115108890151,7.985869841699831,core,supported_multi_station_candidate,A,False,2016,-6.13,494.825,13.068833333333334,8.722442900303095,True,4.166666666666667,1.25,,511.0,13.0,False,True,True,True,True,-7.0649999999999995,366.25,10.245,58.35000000000002,138.0,78.0,2016-05-14 15:50:00,5,65,,1.25,511.0,13.0,True,unclassified,56.03333333333333,6,7.287284441385936,6.369758211242442,4.613053491766986,56.03333333333333,7.287284441385936,6.369758211242442,6,13,4.166666666666667
