time,duration,magnitude,ons type,V max,B max
1958-02-16 16:36,36,1.11,SSC,,
1958-02-19 23:00,47,0.88,,,
1958-02-23 14:00,72,1.55,,,
1958-02-27 22:00,64,2.34,,,
1958-03-03 09:30,36,1.46,SSC,,
1958-03-05 12:00,70,3.02,,,
1958-03-09 12:00,36,0.84,,,
1958-03-11 20:00,27,1.66,,,
1958-03-14 12:12,39,3.27,SSC,,
1958-03-17 07:54,50,1.45,SSC,,
1958-03-20 01:00,60,2.33,,,
1958-03-23 12:00,42,0.78,,,
1958-03-25 15:36,36,9.21,SSC,,
1958-03-29 12:00,34,0.88,,,
1958-03-31 04:18,34,1.57,SSC,,
1958-04-01 20:00,36,0.83,,,
1958-04-04 13:00,46,1.55,,,
1958-04-06 22:00,38,0.9,,,
1958-04-10 10:00,45,2.55,,,
1958-04-14 04:00,46,0.89,,,
1958-04-16 13:00,60,1.61,,,
1958-04-23 21:00,25,0.83,,,
1958-04-25 01:00,31,2.81,,,
1958-04-26 12:48,43,1.09,SSC,,
1958-04-28 19:00,55,5.99,,,
1958-05-05 18:00,60,1.46,,,
1958-05-08 23:00,36,4.56,,,
1958-05-11 10:00,53,1.41,,,
1958-05-14 06:00,80,1.32,,,
1958-05-18 16:00,40,1.19,,,
1958-05-20 23:12,46,0.77,SSC,,
1958-05-24 22:00,23,0.8,,,
1958-05-26 14:00,36,1.77,,,
1958-05-28 23:00,49,5.19,,,
1958-05-31 16:48,30,1.83,SSC,,
1958-06-02 04:06,41,1.34,SSC,,
1958-06-05 16:00,29,1.15,,,
1958-06-07 00:42,34,1.99,SSC,,
1958-06-08 17:24,39,1,SSC,,
1958-06-10 17:00,32,0.58,,,
1958-06-14 18:24,32,0.57,SSC,,
1958-06-16 14:00,47,1.11,,,
1958-06-19 16:00,31,1.85,SSC,,
1958-06-21 04:00,36,1.76,,,
1958-06-28 07:12,9,1.86,SSC,,
1958-06-28 17:42,17,3.14,SSC,,
1958-06-29 13:00,33,1.26,,,
1958-07-01 02:00,39,0.98,,,
1958-07-03 16:00,15,0.44,,,
1958-07-04 09:00,54,0.8,,,
1958-07-07 08:00,21,0.51,,,
1958-07-08 07:48,36,9.6,SSC,,
1958-07-11 18:00,23,1.75,,,
1958-07-13 22:06,36,1.2,SSC,,
1958-07-17 00:00,23,1.24,,,
1958-07-18 02:18,49,1.17,SSC,,
1958-07-20 16:00,22,0.87,,,
1958-07-21 16:36,36,3.63,SSC,,
1958-07-24 09:00,45,1.02,,,
1958-07-26 20:00,36,3.38,,,
1958-07-29 21:00,35,0.79,,,
1958-07-31 15:24,36,5.9,SSC,,
1958-08-02 15:00,39,0.81,,,
1958-08-07 14:00,40,0.76,,,
1958-08-10 17:00,23,0.96,,,
1958-08-11 18:48,33,0.74,SSC,,
1958-08-13 10:00,47,1.32,,,
1958-08-15 22:00,27,1.23,,,
1958-08-17 06:18,16,2.37,SSC,,
